2022;SECRETARIA DE DESENVOLVIMENTO SOCIAL; CRIANçA E JUVENTUDE DE PERNAMBUCO;TC003/2022;2.099 SERVIÇO;;EM EXECUçãO;;10333399000186 - INSTITUTO ENSINAR DE DESENVOLVIMENTO SOCIAL-IEDES;2022/09/14 00:00:00.000;2023/03/13 00:00:00.000; 5129359.25;
2021;SUAPE - COMPLEXO INDUSTRIAL PORTUáRIO GOVERNADOR ERALDO GUEIROS;78/2021;2.099 SERVIÇO;;EM EXECUçãO;jul/21;8064693000198 - CONCREPOXI ENGENHARIA LTDA;2021/09/20 00:00:00.000;2022/08/15 00:00:00.000; 4365000.0;http://web.transparencia.pe.gov.br/contratos/1041/LICON_Contrato_1041_2021_78_1090375.pdf;
2021;SUAPE - COMPLEXO INDUSTRIAL PORTUáRIO GOVERNADOR ERALDO GUEIROS;81/2021;2.099 SERVIÇO;;EM EXECUçãO;14/2021;12285441000166 - TPF ENGENHARIA LTDA;2021/09/23 00:00:00.000;2022/05/20 00:00:00.000; 2532233.91;http://web.transparencia.pe.gov.br/contratos/1041/LICON_Contrato_1041_2021_81_1090386.pdf;
2021;SUAPE - COMPLEXO INDUSTRIAL PORTUáRIO GOVERNADOR ERALDO GUEIROS;82/2021;2.099 SERVIÇO;;EM EXECUçãO;44/2021;28687849000102 - SAJ ADV SISTEMAS S/A;2021/10/20 00:00:00.000;2022/10/19 00:00:00.000; 7000.0;http://web.transparencia.pe.gov.br/contratos/1041/LICON_Contrato_1041_2021_82_1090419.pdf;
2021;SUAPE - COMPLEXO INDUSTRIAL PORTUáRIO GOVERNADOR ERALDO GUEIROS;83/2021;2.099 SERVIÇO;;EM EXECUçãO;42/2021;26265371000199 - IUS NATURA LTDA;2021/09/28 00:00:00.000;2022/09/27 00:00:00.000; 19476.0;http://web.transparencia.pe.gov.br/contratos/1041/LICON_Contrato_1041_2021_83_1090435.pdf;
2021;SUAPE - COMPLEXO INDUSTRIAL PORTUáRIO GOVERNADOR ERALDO GUEIROS;85/2021;2.099 SERVIÇO;;EM EXECUçãO;51/2021;33651235000100 - A C P DA SILVA ENGENHARIA;2021/10/13 00:00:00.000;2022/10/12 00:00:00.000; 36900.0;http://web.transparencia.pe.gov.br/contratos/1041/LICON_Contrato_1041_2021_85_1090447.pdf;
2021;SUAPE - COMPLEXO INDUSTRIAL PORTUáRIO GOVERNADOR ERALDO GUEIROS;87/2021;2.099 SERVIÇO;;EM EXECUçãO;30/2021;24435942000160 - JOSIAS BATISTA DE MENDONCA;2021/10/13 00:00:00.000;2022/03/11 00:00:00.000; 99499.5;http://web.transparencia.pe.gov.br/contratos/1041/LICON_Contrato_1041_2021_87_1090455.pdf;
2021;SUAPE - COMPLEXO INDUSTRIAL PORTUáRIO GOVERNADOR ERALDO GUEIROS;88/2021;2.099 SERVIÇO;;EM EXECUçãO;53/2021;4998039490 - RACHEL GLEYCE DE BRITO FREITAS;2021/10/14 00:00:00.000;2022/01/11 00:00:00.000; 4250.0;http://web.transparencia.pe.gov.br/contratos/1041/LICON_Contrato_1041_2021_88_1090459.pdf;
2021;SUAPE - COMPLEXO INDUSTRIAL PORTUáRIO GOVERNADOR ERALDO GUEIROS;89/2021;2.099 SERVIÇO;;EM EXECUçãO;54/2021;10724104000100 - DIAS, REZENDE & ALENCAR ADVOCACIA;2021/10/18 00:00:00.000;2022/10/17 00:00:00.000; 96000.0;http://web.transparencia.pe.gov.br/contratos/1041/LICON_Contrato_1041_2021_89_1090462.pdf;
2021;SUAPE - COMPLEXO INDUSTRIAL PORTUáRIO GOVERNADOR ERALDO GUEIROS;90/2021;2.099 SERVIÇO;;EM EXECUçãO;34/2021;9522104000130 - TECH MINING SOLUÇÕES EM MINERAÇÃO EIRELI;2021/10/19 00:00:00.000;2022/10/18 00:00:00.000; 7949000.0;http://web.transparencia.pe.gov.br/contratos/1041/LICON_Contrato_1041_2021_90_1095246.pdf;
2021;SUAPE - COMPLEXO INDUSTRIAL PORTUáRIO GOVERNADOR ERALDO GUEIROS;91/2021;2.099 SERVIÇO;;EM EXECUçãO;set/21;15630064000739 - BELOV ENGENHARIA LTDA;2021/10/25 00:00:00.000;2022/05/22 00:00:00.000; 375200.0;http://web.transparencia.pe.gov.br/contratos/1041/LICON_Contrato_1041_2021_91_1090496.pdf;
2021;SUAPE - COMPLEXO INDUSTRIAL PORTUáRIO GOVERNADOR ERALDO GUEIROS;92/2021;2.099 SERVIÇO;;EM EXECUçãO;39/2021;36240731000151 - RUSTLESS TECNOLOGIA, COMERCIO, SERVICOS, IMPORTACAO E EXPORTACAO LTDA;2021/10/25 00:00:00.000;2025/10/03 00:00:00.000; 1164240.0;http://web.transparencia.pe.gov.br/contratos/1041/LICON_Contrato_1041_2021_92_1090498.pdf;
2021;SUAPE - COMPLEXO INDUSTRIAL PORTUáRIO GOVERNADOR ERALDO GUEIROS;93/2021;2.099 SERVIÇO;;EM EXECUçãO;nov/21;12574539000133 - CONSTRUTORA VENANCIO LTDA;2021/10/18 00:00:00.000;2023/06/16 00:00:00.000; 37700000.0;http://web.transparencia.pe.gov.br/contratos/1041/LICON_Contrato_1041_2021_93_1090508.pdf;
2021;SUAPE - COMPLEXO INDUSTRIAL PORTUáRIO GOVERNADOR ERALDO GUEIROS;94/2021;2.099 SERVIÇO;;EM EXECUçãO;22/2021;15195617000187 - B1 VIGILANCIA EIRELI;2021/10/19 00:00:00.000;2022/10/18 00:00:00.000; 10379998.94;http://web.transparencia.pe.gov.br/contratos/1041/LICON_Contrato_1041_2021_94_1090514.pdf;
2021;SUAPE - COMPLEXO INDUSTRIAL PORTUáRIO GOVERNADOR ERALDO GUEIROS;97/2021;2.099 SERVIÇO;;EM EXECUçãO;20/2021;3350226000100 - R&M ENGENHARIA LTDA-ME;2021/10/25 00:00:00.000;2022/04/22 00:00:00.000; 1232605.53;http://web.transparencia.pe.gov.br/contratos/1041/LICON_Contrato_1041_2021_97_1095265.pdf;
2021;SUAPE - COMPLEXO INDUSTRIAL PORTUáRIO GOVERNADOR ERALDO GUEIROS;98/2021;2.099 SERVIÇO;;EM EXECUçãO;17/2021;545355000166 - OTL OBRAS TÉCNICAS LTDA;2021/10/26 00:00:00.000;2022/02/22 00:00:00.000; 446201.29;http://web.transparencia.pe.gov.br/contratos/1041/LICON_Contrato_1041_2021_98_1095273.pdf;
2021;SUAPE - COMPLEXO INDUSTRIAL PORTUáRIO GOVERNADOR ERALDO GUEIROS;99/2021;2.099 SERVIÇO;;EM EXECUçãO;15/2021;32185141000112 - CASTRO & ROCHA LTDA;2021/10/26 00:00:00.000;2022/07/22 00:00:00.000; 3175000.0;http://web.transparencia.pe.gov.br/contratos/1041/LICON_Contrato_1041_2021_99_1093019.pdf;
2021;UPE CAMPUS PETROLINA;002/2021;2.099 SERVIÇO;;EM EXECUçãO;33/2020;6304834000177 - DISCOVERY SERVIÇOS PROFISSIONAIS LTDA ME;2021/09/20 00:00:00.000;2022/09/19 00:00:00.000; 84975.0;http://web.transparencia.pe.gov.br/contratos/828/LICON_Contrato_828_2021_002_1070703.pdf;
2021;UPE CAMPUS PETROLINA;005/2021;2.099 SERVIÇO;;EM EXECUçãO;32/2020;14024014000150 - MC TECH SOLUCOES EM TI LTDA;2021/10/04 00:00:00.000;2022/10/03 00:00:00.000; 47890.0;http://web.transparencia.pe.gov.br/contratos/828/LICON_Contrato_828_2021_005_1070798.pdf;
2021;UPE CAMPUS PETROLINA;013/2021;2.099 SERVIÇO;;EM EXECUçãO;;26429236000131 - DUM CONSULTORIA, PROJETOS E CONSTRUCAO LTDA;2021/12/15 00:00:00.000;2022/12/14 00:00:00.000; 30000.0;http://web.transparencia.pe.gov.br/contratos/828/LICON_Contrato_828_2021_013_1071840.pdf;
2022;AGêNCIA ESTADUAL DE MEIO AMBIENTE;002/2022;2.099 SERVIÇO;;EM EXECUçãO;27/2021;10286009000164 - EFICAZ SERVIÇOS E TERCEIRIZAÇÕES EIRELI - ME;2022/06/06 00:00:00.000;2023/06/05 00:00:00.000; 13920.0;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2022_002_1107850.pdf;
2022;AGêNCIA ESTADUAL DE MEIO AMBIENTE;004/2022;2.099 SERVIÇO;;EM EXECUçãO;;24688547000190 - LABPET SERVIÇOS VETERINÁRIOS LTDA ME;2022/12/20 00:00:00.000;2023/12/19 00:00:00.000; 227007.0;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2022_004_1184528.pdf;
2022;AGêNCIA ESTADUAL DE MEIO AMBIENTE;008/2022;2.099 SERVIÇO;;EM EXECUçãO;;5465222000101 - RM TERCEIRIZAÇÃO E GESTÃO DE RECURSOS HUMANOS EIRELI;2022/06/09 00:00:00.000;2023/06/08 00:00:00.000; 145765.2;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2022_008_1109971.pdf;
2022;AGêNCIA ESTADUAL DE MEIO AMBIENTE;009/2022;2.099 SERVIÇO;;EM EXECUçãO;;126621000116 - TRANS SERVI TRANSPORTES E SERVIÇOS  LTDA;2022/08/26 00:00:00.000;2023/08/25 00:00:00.000; 4500.0;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2022_009_1147317.pdf;
2022;AGêNCIA ESTADUAL DE MEIO AMBIENTE;013/2022;2.099 SERVIÇO;;EM EXECUçãO;14/2022;3507661000104 - INSTITUTO DE APOIO A FUNDAÇÃO UNIVERSIDADE DE PERNAMBUCO - IAUPE;2022/07/18 00:00:00.000;2023/07/17 00:00:00.000; 876000.0;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2022_013_1126355.pdf;
2022;AGêNCIA ESTADUAL DE MEIO AMBIENTE;014/2022;2.099 SERVIÇO;;EM EXECUçãO;out/22;10921252000298 - COMPANHIA EDITORA DE PERNAMBUCO - CEPE;2022/10/24 00:00:00.000;2023/10/23 00:00:00.000; 119551.21;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2022_014_1163750.pdf;
2022;AGêNCIA ESTADUAL DE MEIO AMBIENTE;017/2022;2.099 SERVIÇO;;EM EXECUçãO;jun/22;5045317000168 - INTERAGI TECNOLOGIA LTDA;2022/09/20 00:00:00.000;2023/09/19 00:00:00.000; 196985.0;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2022_017_1153417.pdf;
2022;AGêNCIA ESTADUAL DE MEIO AMBIENTE;024/2022;2.099 SERVIÇO;;EM EXECUçãO;dez/22;11965860000186 - ETI -EMPRESA DE TECNOLOGIA EM INFORMATICA LTDA;2022/10/24 00:00:00.000;2023/01/21 00:00:00.000; 88500.0;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2022_024_1163707.pdf;
2022;AGêNCIA ESTADUAL DE MEIO AMBIENTE;026/2022;2.099 SERVIÇO;;EM EXECUçãO;;8765516000139 - G & R ARRUDA COMÉRCIO DE GÁS LTDA - ME;2022/10/31 00:00:00.000;2023/10/30 00:00:00.000; 21600.0;http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2022_026_1165517.pdf;
2022;AGêNCIA ESTADUAL DE PLANEJAMENTO E PESQUISAS DE PERNAMBUCO;005/2022;2.099 SERVIÇO;;EM EXECUçãO;;5465222000101 - RM TERCEIRIZACAO E GESTAO DE RECURSOS HUMANOS EIRELI;2022/09/01 00:00:00.000;2023/08/31 00:00:00.000; 105160.4;http://web.transparencia.pe.gov.br/contratos/852/LICON_Contrato_852_2022_005_1149535.pdf;
2022;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;003/2022;2.099 SERVIÇO;;EM EXECUçãO;;5465222000101 - RM TERCEIRIZAÇÃO E GESTÃO DE RECURSOS HUMANOS EIREL;2022/09/01 00:00:00.000;2023/08/31 00:00:00.000; 31357.68;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2022_003_1138698.pdf;
2022;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;005/2022;2.099 SERVIÇO;;EM EXECUçãO;fev/22;3983776000167 - RHA ENGENHARIA E CONSULTORIA S/S LTDA;2022/06/08 00:00:00.000;2023/08/07 00:00:00.000; 439900.0;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2022_005_1109334.pdf;
2022;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;008/2022;2.099 SERVIÇO;;EM EXECUçãO;28/2022;4196645000100 - IMPRENSA NACIONAL;2022/07/18 00:00:00.000;2023/07/17 00:00:00.000; 20000.2;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2022_008_1127458.pdf;
2022;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;011/2022;2.099 SERVIÇO;;EM EXECUçãO;;8717223000186 - SERCOSERV SERVICOS TERCEIRIZADOS LTDA;2022/11/01 00:00:00.000;2023/10/31 00:00:00.000; 29638.2;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2022_011_1159436.pdf;
2022;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;012/2022;2.099 SERVIÇO;;EM EXECUçãO;34/2022;149706000110 - ALAMO - SEGURANÇA ELETRÔNICA LTDA;2022/11/01 00:00:00.000;2023/10/31 00:00:00.000; 17000.0;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2022_012_1160155.pdf;
2022;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;014/2022;2.099 SERVIÇO;;EM EXECUçãO;26/2022;11954897000109 - R SAT SEGURANCA ELETRONICA EIRELI;2022/11/01 00:00:00.000;2023/10/31 00:00:00.000; 9500.0;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2022_014_1169740.pdf;
2022;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;015/2022;2.099 SERVIÇO;;EM EXECUçãO;;5465222000101 - RM TERCEIRIZAÇÃO E GESTÃO DE RECURSOS HUMANOS EIRELI;2022/12/01 00:00:00.000;2023/11/30 00:00:00.000; 31548.12;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2022_015_1177354.pdf;
2022;AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA;016/2022;2.099 SERVIÇO;;EM EXECUçãO;32/2022;3983776000167 - RHA ENGENHARIA E CONSULTORIA S/S LTDA;2022/12/22 00:00:00.000;2024/08/21 00:00:00.000; 469000.0;http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2022_016_1187754.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;005/2022;2.099 SERVIÇO;;EM EXECUçãO;fev/22;4203075000120 - NÚCLEO DE GESTÃO DO PORTO DIGITAL;2022/02/23 00:00:00.000;2024/02/23 00:00:00.000; 1514301.74;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_005_1062766.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;010/2022;2.099 SERVIÇO;;EM EXECUçãO;abr/22;36614730000120 - INSTITUTO DE COOPERAÇÃO INTERNACIONAL PARA O MEIO AMBIENTE ICIMA;2022/03/11 00:00:00.000;2022/07/11 00:00:00.000; 40000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_010_1070026.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;011/2022;2.099 SERVIÇO;;EM EXECUçãO;jun/22;24162869000109 - ASSOCIAÇÃO DOS CRIADORES DO CAVALO MANGALARGA MACHADOR DE PERNAMBUCO - ACCMMPE;2022/03/14 00:00:00.000;2022/07/14 00:00:00.000; 20000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_011_1072366.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;012/2022;2.099 SERVIÇO;;EM EXECUçãO;mar/22;10010312000130 - ASSOCIAçãO COMERCIAL E EMPRESARIAL DE CARUARU -  ACIC;2022/03/14 00:00:00.000;2022/07/14 00:00:00.000; 100000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_012_1072357.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;017/2022;2.099 SERVIÇO;;EM EXECUçãO;mai/22;35667583000193 - CâMARA DE DIRIGENTES LOJISTAS SE SANTA CRUZ DO CAPIBARIBE;2022/03/28 00:00:00.000;2022/07/28 00:00:00.000; 30000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_017_1085931.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;018/2022;2.099 SERVIÇO;;EM EXECUçãO;jul/22;7802544000116 - ASSOCIACAO DOS PRODUTORES DE LEITE DE SAO BENTO DO UNA;2022/04/11 00:00:00.000;2022/08/11 00:00:00.000; 20000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_018_1100230.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;019/2022;2.099 SERVIÇO;;EM EXECUçãO;ago/22;40612555000109 - INSTITUTO NEGRALINDA;2022/04/13 00:00:00.000;2022/12/13 00:00:00.000; 21000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_019_1094372.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;021/2022;2.099 SERVIÇO;;EM EXECUçãO;;27691290000113 - CONTENT ASSESSORIA LTDA ME;2022/04/27 00:00:00.000;2023/04/27 00:00:00.000; 38800.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_021_1097750.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;023/2022;2.099 SERVIÇO;;EM EXECUçãO;set/22;72165707000169 - BORSOI ARQUITETURA LTDA;2022/04/29 00:00:00.000;2022/09/29 00:00:00.000; 52500.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_023_1097745.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;025/2022;2.099 SERVIÇO;;EM EXECUçãO;25/2022;8574874000164 - CAMARA DOS DIRIGENTES LOJISTAS DE ORICURI/PE;2022/05/24 00:00:00.000;2022/09/24 00:00:00.000; 30000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_025_1107001.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;026/2022;2.099 SERVIÇO;;EM EXECUçãO;29/2022;10358174000184 - MUNICIPIO DE AFRANIO- PE.;2022/05/19 00:00:00.000;2023/01/19 00:00:00.000; 60000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_026_1103656.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;028/2022;2.099 SERVIÇO;;EM EXECUçãO;31/2022;788749000145 - ASSOCIACAO CULTURAL PEDRA DO REINO;2022/05/20 00:00:00.000;2022/09/20 00:00:00.000; 40000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_028_1103670.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;033/2022;2.099 SERVIÇO;;EM EXECUçãO;16/2022;9079072000140 - W.B. OLIVEIRA - ME;2022/06/09 00:00:00.000;2022/11/09 00:00:00.000; 345000.01;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_033_1110108.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;034/2022;2.099 SERVIÇO;;EM EXECUçãO;35/2022;6105534000169 - LIRA ARQUITETOS ASSOCIADOS LTDA - EPP;2022/06/10 00:00:00.000;2022/11/10 00:00:00.000; 69000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_034_1110066.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;040/2022;2.099 SERVIÇO;;EM EXECUçãO;47/2022;22317405000190 - CDL RECIFE SERVICOS AOS ASSOCIADOS;2022/06/23 00:00:00.000;2022/10/23 00:00:00.000; 100000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_040_1117595.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;060/2022;2.099 SERVIÇO;;EM EXECUçãO;;37475002000147 - L G DA SILVA NETO ENGENHARIA CONSULTIVA- LEOVIGILDO GALDINO DA SILVA NETO 89214,;2022/08/04 00:00:00.000;2023/02/04 00:00:00.000; 47250.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_060_1135174.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;077/2022;2.099 SERVIÇO;;EM EXECUçãO;77/2022;12590543000195 - FEDERAçãO DE AGRICULTURA DO ESTADO DE PERNAMBUCO;2022/11/01 00:00:00.000;2023/03/01 00:00:00.000; 130000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_077_1167716.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;078/2022;2.099 SERVIÇO;;EM EXECUçãO;64/2022;21331404000138 - ORLEANS VIAGENS E TURISMO LTDA;2022/12/13 00:00:00.000;2023/12/13 00:00:00.000; 502199.99;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_078_1184359.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;079/2022;2.099 SERVIÇO;;EM EXECUçãO;79/2022;62044151000107 - AMERICAN CHAMBER OF COMMERCE FOR BRASIL;2022/11/08 00:00:00.000;2023/03/08 00:00:00.000; 20000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_079_1169657.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;081/2022;2.099 SERVIÇO;;EM EXECUçãO;84/2022;2972918000128 - FEDERAçãO DAS EMPRESAS JUNIORES DO ESTADO DE PERNAMBUCO;2022/11/11 00:00:00.000;2023/03/11 00:00:00.000; 20000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_081_1174401.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;082/2022;2.099 SERVIÇO;;EM EXECUçãO;85/2022;4203075000120 - NÚCLEO DE GESTÃO DO PORTO DIGITAL;2022/11/11 00:00:00.000;2023/03/11 00:00:00.000; 300000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_082_1173536.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;085/2022;2.099 SERVIÇO;;EM EXECUçãO;80/2022;9829524000164 - SERVIÇO DE APOIO AS MICRO E PEQUENAS EMPRESAS DE PE - SEBRAE/PE;2022/11/24 00:00:00.000;2023/03/24 00:00:00.000; 20000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_085_1176681.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;088/2022;2.099 SERVIÇO;;EM EXECUçãO;81/2022;10054062000130 - FEDERAÇÃO DAS INDUSTRIAS DO ESTADO DE PERNAMBUCO;2022/11/29 00:00:00.000;2023/03/29 00:00:00.000; 6000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_088_1177380.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;091/2022;2.099 SERVIÇO;;EM EXECUçãO;90/2022;22317405000190 - CDL RECIFE SERVICOS AOS ASSOCIADOS;2022/12/07 00:00:00.000;2023/04/07 00:00:00.000; 150000.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_091_1179846.pdf;
2022;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;093/2022;2.099 SERVIÇO;;EM EXECUçãO;;37475002000147 - L G DA SILVA NETO ENGENHARIA CONSULTIVA- LEOVIGILDO GALDINO DA SILVA NETO 89214,;2022/12/22 00:00:00.000;2023/06/22 00:00:00.000; 49650.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2022_093_1187991.pdf;
2022;AGêNCIA DE FOMENTO DO ESTADO DE PERNAMBUCO S/A;mai/22;2.099 SERVIÇO;;EM EXECUçãO;dez/22;10456737000177 - F. I. INFORMÁTICA LTDA - ME;2022/05/05 00:00:00.000;2023/05/04 00:00:00.000; 6160.2;http://web.transparencia.pe.gov.br/contratos/1347/LICON_Contrato_1347_2022_5_1129110.pdf;
2022;COMPANHIA EDITORA DE PERNAMBUCO;007/2022;2.099 SERVIÇO;;EM EXECUçãO;24/2021;32004779000100 - MARCOS FELIPE CASTILHO ARQUIVOTECH;2022/03/25 00:00:00.000;2023/03/24 00:00:00.000; 804000.0;http://web.transparencia.pe.gov.br/contratos/798/LICON_Contrato_798_2022_007_1122291.pdf;
2022;COMPANHIA EDITORA DE PERNAMBUCO;008/2022;2.099 SERVIÇO;;EM EXECUçãO;jul/22;11869674000143 - FUNDAçãO GILBERTO FREIRE;2022/03/30 00:00:00.000;2023/03/29 00:00:00.000; 414506.0;http://web.transparencia.pe.gov.br/contratos/798/LICON_Contrato_798_2022_008_1122293.pdf;
2022;COMPANHIA EDITORA DE PERNAMBUCO;011/2022;2.099 SERVIÇO;;EM EXECUçãO;ago/22;14949604000193 - DM COMUNICACAO LTDA;2022/04/25 00:00:00.000;2022/08/09 00:00:00.000; 151000.0;http://web.transparencia.pe.gov.br/contratos/798/LICON_Termo_Aditivo_798_2022_011_1137794.pdf ;
2022;COMPANHIA EDITORA DE PERNAMBUCO;015/2022;2.099 SERVIÇO;;EM EXECUçãO;set/22;47866934000174 - TICKET SERVIÇOS S.A;2022/05/19 00:00:00.000;2023/05/18 00:00:00.000; 96000.0;http://web.transparencia.pe.gov.br/contratos/798/LICON_Contrato_798_2022_015_1122322.pdf;
2022;COMPANHIA EDITORA DE PERNAMBUCO;020/2022;2.099 SERVIÇO;;EM EXECUçãO;15/2022;1365662000128 - ECALC SISTEMA DE COMPUTADORES LTDA;2022/07/01 00:00:00.000;2023/06/30 00:00:00.000; 28234.8;http://web.transparencia.pe.gov.br/contratos/798/LICON_Contrato_798_2022_020_1122325.pdf;
2022;COMPANHIA ESTADUAL DE HABITAçãO E OBRAS;008/2022;2.099 SERVIÇO;;EM EXECUçãO;jan/21;2222761000113 - PROATEC - PROJETOS, ASSESSORIA TÉCNICA E CONSULTORIA;2022/03/01 00:00:00.000;2023/07/31 00:00:00.000; 777352.51;http://web.transparencia.pe.gov.br/contratos/800/LICON_Contrato_800_2022_008_1173311.pdf;
2022;COMPANHIA ESTADUAL DE HABITAçãO E OBRAS;076/2022;2.099 SERVIÇO;;EM EXECUçãO;15/2022;10473437000104 - FOTO BELEZA ARTES COMERCIO LTDA;2022/08/30 00:00:00.000;2022/10/29 00:00:00.000; 2800.0;http://web.transparencia.pe.gov.br/contratos/800/LICON_Contrato_800_2022_076_1177722.pdf;
