"Numero do Processo de Compra";"Procedimento de Contratacao";Objeto;"Situacao do Processo";"Ogao Demandante";"Valor de Referencia";"Valor Homologado";Economias
"2012008 001287/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";FLUCONAZOL;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";140,00;140,00;0,00
"1320044 000033/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"Solução de preservação para transplantes de córneas. TDCO 06/2018";Concluído;"SECRETARIA DE ESTADO DA SAUDE";117.150,00;117.150,00;0,00
"3041002 000040/2019";PREGAO;"Prestação de serviço de auditoria independente, a ser realizada por auditores registrados na CVM - Comissão de Valores Mobiliários, conforme projeto básico.";Concluído;"EMPRESA DE ASSIST. TECNICA E EXTENSAO RURAL DE MG";110.240,00;30.000,00;80.240,00
"2012008 001272/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MASCARA DESCARTAVEL";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";421,20;421,20;0,00
"2011028 000019/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"LIDOCAINA + VASOCONSTRITOR";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";4.710,00;4.710,00;0,00
"2101003 000025/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de lanternas";Concluído;"INSTITUTO ESTADUAL DE FLORESTAS-IEF";59,90;59,90;0,00
"2261032 000164/2019";PREGAO;"serviço de regeneração de resina de leito misto de sistema de tratamento de água";Concluído;"FUNDACAO EZEQUIEL DIAS";0,00;0,00;0,00
"0501044 000462/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MEDICAMENTOS ALOPÁTICOS - CAF";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";51.608,25;51.608,25;0,00
"0513007 000189/2019";PREGAO;"Prestação de Serviços Técnicos Especializados para Elaboração de Projeto Executivo de Sinalização e Comunicação Visual.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";35.975,38;35.000,00;975,38
"0501044 000441/2019";"DISPENSA DE LICITACAO - POR VALOR";"TESTE IMUNOCROMATOGRÁFICO PARA DETECÇÃO RÁPIDA DE antígeno GDH e TOXINA A E B DO
CLOSTRIDIUM DIFFICILLI, SIMULTANEAMENTE";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.920,00;1.900,00;20,00
"1451044 000202/2019";"RECADASTRAMENTO DE PROCESSOS";"Contratação de empresa especializada em manutenção preventiva mensal, corretiva eventual e fornecimento de peças para substituição nas unidades do sistema de condicionamento de ar no ""CIAD"".";Concluído;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLIC";557.149,31;557.149,31;0,00
"1371060 000006/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO DE MATERIAIS DE LIMPEZA VIA REGISTRO DE PREÇOS 64/2019.";Concluído;"SECRETARIA ESTADO DE MEIO AMB.DESENV SUSTENTAVEL";275,45;275,45;0,00
"1511189 000158/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO DE COMPUTADORES E NOTEBOOKS ATRAVÉS DO PL. 50/2019 E RP 160/2019 E EMENDAS Nº 247, 248, 252, 295, 585, 910, 1620 E E RECURSOS ORIUNDOS DA VALE, REFERENTE A SUBPROJETO D: REESTRUTURAÇÃO EAD.";Concluído;"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";504.536,00;504.536,00;0,00
"1321129 000135/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Execução da Ata 227/2018
SEI 1320.01.0011160/2019-63";Concluído;"SECRETARIA DE ESTADO DA SAUDE";1.497,60;1.497,60;0,00
"3051008 000018/2019";"DISPENSA DE LICITACAO - POR VALOR";"MANUTENÇÃO E REPAROS EM IMPRESSORA E RECARGA DE TONER";Concluído;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";7.329,89;6.455,00;874,89
"0522008 000072/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";Medicamentos.;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";44.073,35;44.073,31;0,04
"2012008 001112/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"GEL PARA CURATIVO COM HIDROCOLOIDES";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";6.000,00;6.000,00;0,00
"2261032 000238/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAIS DE ESCRITÓRIO - II - RP 201/2018";Concluído;"FUNDACAO EZEQUIEL DIAS";9.796,60;9.796,60;0,00
"0522008 000074/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Leite UHT";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";5.357,60;5.357,60;0,00
"1255302 000162/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"DETERGENTES ENZIMÁTICOS para atender a demanda dos usuários do SISAU através de RP realizado no SIRP.
UNIDADE DE PEDIDO: CENTRO ODONTOLÓGICO

";Concluído;"POLICIA MILITAR DE MINAS GERAIS";1.240,00;1.240,00;0,00
"1255302 000159/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MEDICAMENTOS MANIPULADOS E ALOPÁTICOS para atender a demanda do SISAU através de Registro de Preços realizado no SIRP/MG

UNIDADE DE PEDIDO: CAF/HPM";Concluído;"POLICIA MILITAR DE MINAS GERAIS";66.611,71;66.611,71;0,00
"0518005 000117/2019";"DISPENSA DE LICITACAO - POR VALOR";"Prestação de serviços de Exames de Ecodoplercardiograma Transtorácico para pacientes recém nascidos e pediátricos do HRAD.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";5.750,00;5.750,00;0,00
"1259968 000029/2019";"DISPENSA DE LICITACAO - POR VALOR";"Manutenção de extintores para o NAIS-Ipatinga";Concluído;"POLICIA MILITAR DE MINAS GERAIS";195,00;190,00;5,00
"0522008 000077/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";DISPENSADORES.;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";990,00;990,00;0,00
"2331032 000035/2019";"DISPENSA DE LICITACAO - POR VALOR";"Elemento filtrante";Concluído;"INSTITUTO DE METROLOGIA E QUALIDADE DE MG";552,00;359,40;192,60
"1321032 000012/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Garrafa Térmica e copo descartável 200ml para atender a demanda nesta GRS/Pedra Azul, conforme RP 286/2018.";Concluído;"SECRETARIA DE ESTADO DA SAUDE";1.100,00;1.100,00;0,00
"0503007 000101/2019";PREGAO;"CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇO PARA ANALISE MICROBIOLÓGICA DO LACTARIO DO HIJPII";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";97.512,00;80.000,00;17.512,00
"1501122 000052/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"aquisição de Refil Purificador de Água, destinados a atender à Cidade administrativa Presidente Tancredo Neves.";Concluído;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";12.650,00;12.650,00;0,00
"2181003 000039/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE EXTINTORES PARA ATENDER A FCS.";Concluído;"FUNDACAO CLOVIS SALGADO";5.821,04;5.723,71;97,33
"1321030 000026/2019";"DISPENSA DE LICITACAO - POR VALOR";"Serviço de instalação de Moto Motor Pivotante 1/2 duplo
";Concluído;"SECRETARIA DE ESTADO DA SAUDE";0,00;0,00;0,00
"0510037 000389/2019";"DISPENSA DE LICITACAO - POR VALOR";LIPIDIOL;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";2.262,92;0,00;2.262,92
"1511189 000145/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Sofá para escritório de 02 e 03 lugares em atendimento a Emenda Parlamentar nº 1620 de autoria da Comissão de Participação Popular.  RP nº 262/2018, Planejamento 326/2018. SEI: 1510.01.0093830/2019-26";Concluído;"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";7.365,00;7.365,00;0,00
"0508022 000071/2019";"DISPENSA DE LICITACAO - POR VALOR";"ADAPTADOR PARA CABOS/ CABO DE REDE/ MARCADOR/ TRAVA DE SEGURANÇA";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";4.921,99;4.918,28;3,71
"2012008 001143/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"TUBO PARA COLETA DE SANGUE A VACUO";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";8.800,00;8.800,00;0,00
"1091002 000133/2019";INEXIGIBILIDADE;"Aquisição de 04 licenças de software AGILE, do fabricante THYSSENKRUPP, para controle e gestão de tráfego de elevadores do mesmo fabricante, com treinamento de utilização do software.";Concluído;"PROCURADORIA GERAL DE JUSTICA";40.000,00;40.000,00;0,00
"1259966 000041/2019";"DISPENSA DE LICITACAO - POR VALOR";"SERVIÇO DE FORNECIMENTO DE ALIMENTAÇÃO E AGUA MINERAL, PARA MILITARES EM REINTEGRAÇÃO JUDICIAL DE POSSE NA ÁREA DO 33º BPM.
TERMO DE REFERENCIA: (31)2191-6106 / 6138";Concluído;"POLICIA MILITAR DE MINAS GERAIS";554,00;0,00;554,00
"2311076 000305/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO DE AGUA MINERAL
RP 86 2019
PLAN 17 2019";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";2.198,00;2.198,00;0,00
"2012008 001138/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";DIPIRONA;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";7.225,00;7.225,00;0,00
"1191010 000002/2019";"DISPENSA DE LICITACAO - POR VALOR";"Contratação de prestação de serviços de manutenção, reparo e recarga em 56 extintores de incêndio e teste hidrostático nas 12 mangueiras de incêndio das unidades da U.E. 1190057.";Concluído;"SECRETARIA DE ESTADO DE FAZENDA DE MINAS GERAIS";4.800,00;3.255,00;1.545,00
"1501122 000062/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de AREIA - TIPO: LAVADA MEDIA, destinado a atender a Unidades da administrativas da CA.";Concluído;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";1.080,00;1.080,00;0,00
"2371600 000004/2019";"DISPENSA DE LICITACAO - POR VALOR";"CONTRATAÇÃO DE SERVIÇO DE FAXINA PARA A CR. GUANHÃES.";Concluído;"INSTITUTO MINEIRO DE AGROPECUARIA";1.920,00;1.920,00;0,00
"0501044 000492/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"EQUIPAMENTO MÉDICO HOSPITALAR";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";480,00;480,00;0,00
"1441003 000137/2019";"DISPENSA DE LICITACAO - POR VALOR";"Instalação de equipamentos de ar condicionado tipo mini split (Recepção SEDE I).";Concluído;"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";9.000,00;7.200,00;1.800,00
"0503007 000338/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"PRESTAÇÃO DE SERVIÇO DE EXAME DE ANGIOTOMOGRAFIA COMPUTADORIZADA PARA ATENDER DEMANDA URGENTE DO HIJPII";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";732,33;732,33;0,00
"1259972 000023/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"Arquivos deslizantes para atender demanda de Unidades da 17ª RPM.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";59.829,00;59.829,00;0,00
"0522008 000115/2019";"DISPENSA DE LICITACAO - POR VALOR";"ADAPTADOR PARA EQUIPO DE ADMINISTRACAO DE DIETA; CONEXAO EM CRUZ.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";10.260,00;0,00;10.260,00
"0501044 000586/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"EQUIPAMENTO MEDICO HOSPITALAR - MASCARA LARINGEA";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";925,80;925,80;0,00
"2311076 000405/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Planejamento:153/2019

Registro de Preços:197/2019

Objeto: COMPRA ESTADUAL DE MEDICAMENTOS";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";8.434,60;8.434,60;0,00
"2012008 001458/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"TUBO ENDOTRAQUEAL";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";204,40;204,40;0,00
"0510037 000471/2019";PREGAO;"AQUISIÇÃO DE BICICLETA ERGOMETRICA E ESTEIRA";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";18.375,14;9.440,00;8.935,14
"0518005 000158/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO DE KIT MONITORAMENTO DE PRESSÃO INVASIVA PARA ABASTECIMENTO DA FARMÁCIA/HRAD.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";9.100,00;9.100,00;0,00
"1521001 000019/2019";"DISPENSA DE LICITACAO - POR VALOR";"Confecção de adesivo em vinil com instalação em porta de vidro.";Concluído;"CONTROLADORIA GERAL DO ESTADO DE MINAS GERAIS";1.140,00;1.075,00;65,00
"2301762 000025/2019";CONCORRENCIA;"MANUTENÇÃO DAS RODOVIAS DA 34ª RRG - SALINAS";Concluído;"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM";0,00;0,00;0,00
"2320310 000179/2019";PREGAO;"extensor de equipo, dispositivo para transferência de soluções e lençol hospitalar";Concluído;"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MG";11.392,00;11.352,00;40,00
"1257202 000017/2019";"DISPENSA DE LICITACAO - POR VALOR";"MEMORIA RAM DDR3 PARA PC E DISCO RIGIDO(HD) INTERNO";Concluído;"POLICIA MILITAR DE MINAS GERAIS";2.000,39;1.687,20;313,19
"1321129 000184/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Dolamin  125MG;Lisina 125 mg + Ciclobenzaprima 5 mg -                         ATA 93/2019 - PROCESSO SEI Nº1320.01.0084580/2019-15";Concluído;"SECRETARIA DE ESTADO DA SAUDE";13.247,36;13.247,36;0,00
"1011014 000184/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Material de expediente";Concluído;"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";121.917,94;121.917,94;0,00
"0519031 000352/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de lâmpadas para  diversos equipamentos médicos";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";7.865,00;5.178,00;2.687,00
"1255125 000054/2019";"DISPENSA DE LICITACAO - POR VALOR";"INCLUSÃO DE DOTAÇÃO ORÇAMENTÁRIA";Concluído;"POLICIA MILITAR DE MINAS GERAIS";368,00;368,00;0,00
"0501044 000583/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"EQUIPAMENTO MÉDICO HOSPITALAR, COMPONENTES E ACESSÓRIOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";13.224,48;13.224,48;0,00
"1261022 000010/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"LAMPADAS E ACESSORIOS ELETRICOS PARA ATENDER DEMANDA DA SRE DE MONTES CLAROS, SEDE E ANEXOS";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";2.569,40;2.569,40;0,00
"1031018 000550/2019";PREGAO;"Prestação de serviços terceirizados - Administrativo.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";99.720.859,08;94.277.466,24;5.443.392,84
"1091002 000196/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Carrinhos diversos e elástico para processo.";Concluído;"PROCURADORIA GERAL DE JUSTICA";28.052,00;28.052,00;0,00
"1031018 000686/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de chapas MDF e Perfil para confecção de 40 parlatórios padrão Rovere Marsala.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";5.683,80;4.660,72;1.023,08
"0516013 000157/2019";PREGAO;"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS DE TOPOGRAFIA ATRAVÉS DE LEVANTAMENTO TOPOGRAFICO PLANIALTIMÉTRICO CADASTRAL";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";6.385,21;6.300,00;85,21
"1271005 000030/2019";"DISPENSA DE LICITACAO - POR VALOR";"EXTINTORES DE INCÊNDIO E CAFETEIRA ELÉTRICA";Concluído;"SECRETARIA DE ESTADO DE CULTURA E TURISMO";5.365,00;1.620,00;3.745,00
"1031018 000958/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de Pincéis e rolo de pintura";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";1.866,83;1.222,00;644,83
"1320044 000034/2019";PREGAO;"PRESTAÇÃO DE SERVIÇOS DE MARCENARIA E CARPINTARIA ( armários para o Banco de leite Humano e Lactário)";Concluído;"SECRETARIA DE ESTADO DA SAUDE";114.480,00;110.230,00;4.250,00
"1250165 000114/2019";PREGAO;"Ares condicionados para Unidades da 1ª RPM.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";4.668,30;4.668,20;0,10
"1091002 000294/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";Mobiliários;Concluído;"PROCURADORIA GERAL DE JUSTICA";414.025,00;414.025,00;0,00
"1401460 000031/2019";PREGAO;"EXECUÇÃO DE REPAROS E ADAPTAÇÕES NOS PRÉDIOS E INSTALAÇÕES DO COMPLEXO PAMPULHA, LOCALIZADO NA AV. SANTA ROSA, N° 10 - PAMPULHA, BELO HORIZONTE – MINAS GERAIS";Concluído;"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";303.510,80;247.890,00;55.620,80
"1091002 000293/2019";"DISPENSA DE LICITACAO - POR VALOR";"Contratação, sob demanda, p/ confecção de carimbos diversos, de madeira e automáticos, bem como de borrachas para carimbos automáticos, de acordo com as especificações contidas no Anexo Único do TR.";Concluído;"PROCURADORIA GERAL DE JUSTICA";13.135,00;13.135,00;0,00
"5201014 000007/2019";PREGAO;"Serviço Telefônico Fixo Comutado – STFC, nas modalidades LOCAL, LDN, LDI e serviços DDG e com o fornecimento de 06 (seis) E1s 2Mbps e com faixa de numeração para 1000 (um mil) ramais DDR.";Concluído;"BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.";172.056,78;32.787,00;139.269,78
"0509025 000336/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL DE LABORATÓRIO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";7.765,33;7.765,33;0,00
"0501044 000432/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MEDICAMENTOS ALOPÁTICOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";29.729,00;29.729,00;0,00
"2012008 001183/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"CLORETO DE SODIO PRINCIPIO ATIVO";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";14.000,00;14.000,00;0,00
"2012008 001175/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"CLORETO DE SUXAMETONIO";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";5.169,25;5.169,25;0,00
"2012008 001172/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"DISPOSITIVO FIXACAO USO MEDICO-HOSPITALAR";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";4.200,00;4.200,00;0,00
"2311076 000333/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"DIETA ENTERAL, FORMULA, SUPLEMENTO E MODULO NUTRICIONAL

RP 203 2018

PLAN 102 2018";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";4.992,00;4.992,00;0,00
"2012008 001169/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"CURATIVO TIPO COBERTURA PRIMARIA";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";4.980,00;4.980,00;0,00
"0510037 000418/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";ANIDULAFUNGINA;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";11.235,95;11.235,95;0,00
"2012008 001181/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";LAMOTRIGINA;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";38,00;38,00;0,00
"0510037 000424/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";60.084,80;60.084,80;0,00
"1250071 000060/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"NOTEBOOK - Memorando 40.137.2 - convenio 9196180- TAC REGAP";Concluído;"POLICIA MILITAR DE MINAS GERAIS";74.844,00;74.844,00;0,00
"0510037 000422/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";274.332,99;274.332,97;0,02
"1031018 000587/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO DE CADEIRAS GIRATÓRIAS ARP 161/19 - LOTE 01";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";819.975,00;819.975,00;0,00
"2320310 000099/2019";PREGAO;"gêneros alimentícios para lanche do doador de sangue.

";Concluído;"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MG";117.354,99;98.050,48;19.304,51
"2351053 000023/2019";"DISPENSA DE LICITACAO - POR VALOR";"FORNECIMENTO DE LANCHE";Concluído;"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";2.519,10;1.530,00;989,10
"2012008 001557/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"REAGENTE PARA COLORACAO DE GRAM";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";111,00;111,00;0,00
"2311076 000539/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO HOSPITALAR
RP            229/2019
PLAN       160/2019";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";49.380,00;49.380,00;0,00
"1451044 000217/2019";PREGAO;"Fornecimento contínuo de refeições e lanches prontos, na forma transportada, às Unidades Prisionais de Itabira, João Monlevade, Nova Era, Rio Piracicaba, São Domingos do Prata";Concluído;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLIC";11.104.616,20;8.696.795,28;2.407.820,92
"2101018 000010/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Café moído e torrado.";Concluído;"INSTITUTO ESTADUAL DE FLORESTAS-IEF";1.297,20;1.297,20;0,00
"2012008 001553/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"ENXERTO ARTERIAL TUBULAR PTFE";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";6.720,00;6.720,00;0,00
"1402027 000003/2019";PREGAO;"EQUIPAMENTOS DE INFORMÁTICA, AR CONDICIONADO, ELETRODOMÉSTICOS, MATERIAIS MÉDICO-HOSPITALARES E EQUIPAMENTOS OPERACIONAIS.";Concluído;"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";27.699,14;24.084,53;3.614,61
"1321039 000018/2019";"DISPENSA DE LICITACAO - POR VALOR";"MATERIAIS DE ESCRITÓRIO";Concluído;"SECRETARIA DE ESTADO DA SAUDE";774,70;752,00;22,70
"0511023 000114/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de DIETA para consumo na Unidade HCM.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";4.166,40;4.166,40;0,00
"0509025 000317/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";3.638,00;3.638,00;0,00
"0507011 000218/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.523,40;1.523,40;0,00
"0519031 000258/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE SERVIÇOS DE LIMPEZA E TRATAMENTO DE CAIXAS D´ÁGUA E RESERVATÓRIOS PARA ATENDER A DEMANDA DO HRJP";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";4.800,00;3.470,00;1.330,00
"0509025 000299/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";16.929,56;16.929,56;0,00
"2012008 001160/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";CLOPIDOGREL;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";1.421,00;1.421,00;0,00
"0509025 000293/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.330,50;1.330,50;0,00
"2012008 001271/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"TUBO ENDOTRAQUEAL";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";56,20;56,20;0,00
"0509025 000377/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"material hospitalar";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";9.214,56;9.214,56;0,00
"0510037 000489/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";28.595,18;28.595,18;0,00
"2012008 001292/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"ALBUMINA HUMANA";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";21.641,00;21.641,00;0,00
"2311076 000390/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAIS DE LIMPEZA E HIGIENE PESSOAL

RP 56 2019

PLAN 485 2019";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";10.000,00;10.000,00;0,00
"0522008 000094/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";Medicamentos;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.832,46;1.832,45;0,01
"1031018 000623/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO DE DVD-R - ATA 205/2018.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";86.250,00;86.250,00;0,00
